id,tipo,materia,nivel,pergunta,alternativas,resposta_correta,indice_resposta_correta,explicacao,resposta_esperada
MC-001,multipla_escolha,HTML,iniciante,Qual tag representa o conteúdo principal de uma página?,<main> | <footer> | <aside> | <nav>,<main>,0,A tag <main> indica o conteúdo principal do documento.,
MC-002,multipla_escolha,HTML,iniciante,Qual atributo cria um link em uma tag <a>?,src | href | alt | title,href,1,O atributo href define o destino do link.,
MC-003,multipla_escolha,HTML,iniciante,Qual tag é usada para inserir uma imagem?,<img> | <picture-text> | <image> | <src>,<img>,0,A tag <img> insere imagens em uma página HTML.,
MC-004,multipla_escolha,HTML,iniciante,Qual tag cria uma lista não ordenada?,<ol> | <ul> | <li> | <dl>,<ul>,1,A tag <ul> cria uma lista sem ordem numérica.,
MC-005,multipla_escolha,HTML,iniciante,Qual tag cria um campo de formulário?,<input> | <form-field> | <label> | <button>,<input>,0,"A tag <input> cria campos como texto, senha, checkbox etc.",
MC-006,multipla_escolha,HTML,iniciante,Para que serve o atributo alt em imagens?,Definir largura | Descrever a imagem | Criar link | Mudar cor,Descrever a imagem,1,O alt melhora acessibilidade e aparece se a imagem não carregar.,
MC-007,multipla_escolha,HTML,iniciante,Qual elemento contém metadados da página?,<head> | <body> | <main> | <section>,<head>,0,"O <head> contém título, links CSS e metadados.",
MC-008,multipla_escolha,HTML,iniciante,Qual tag representa uma seção independente de conteúdo?,<article> | <span> | <br> | <meta>,<article>,0,O <article> representa conteúdo independente.,
MC-009,multipla_escolha,HTML,iniciante,Qual tag é usada para título principal?,<h1> | <title> | <p> | <strong>,<h1>,0,O <h1> representa o título principal do conteúdo.,
MC-010,multipla_escolha,HTML,iniciante,Qual tag cria uma quebra de linha?,<br> | <hr> | <p> | <line>,<br>,0,A tag <br> cria quebra de linha.,
MC-011,multipla_escolha,HTML,básico,Qual tag representa o conteúdo principal de uma página? (variação 2),<main> | <footer> | <aside> | <nav>,<main>,0,A tag <main> indica o conteúdo principal do documento.,
MC-012,multipla_escolha,HTML,básico,Qual atributo cria um link em uma tag <a>? (variação 2),src | href | alt | title,href,1,O atributo href define o destino do link.,
MC-013,multipla_escolha,HTML,básico,Qual tag é usada para inserir uma imagem? (variação 2),<img> | <picture-text> | <image> | <src>,<img>,0,A tag <img> insere imagens em uma página HTML.,
MC-014,multipla_escolha,HTML,básico,Qual tag cria uma lista não ordenada? (variação 2),<ol> | <ul> | <li> | <dl>,<ul>,1,A tag <ul> cria uma lista sem ordem numérica.,
MC-015,multipla_escolha,HTML,básico,Qual tag cria um campo de formulário? (variação 2),<input> | <form-field> | <label> | <button>,<input>,0,"A tag <input> cria campos como texto, senha, checkbox etc.",
MC-016,multipla_escolha,HTML,básico,Para que serve o atributo alt em imagens? (variação 2),Definir largura | Descrever a imagem | Criar link | Mudar cor,Descrever a imagem,1,O alt melhora acessibilidade e aparece se a imagem não carregar.,
MC-017,multipla_escolha,HTML,básico,Qual elemento contém metadados da página? (variação 2),<head> | <body> | <main> | <section>,<head>,0,"O <head> contém título, links CSS e metadados.",
MC-018,multipla_escolha,HTML,básico,Qual tag representa uma seção independente de conteúdo? (variação 2),<article> | <span> | <br> | <meta>,<article>,0,O <article> representa conteúdo independente.,
MC-019,multipla_escolha,HTML,básico,Qual tag é usada para título principal? (variação 2),<h1> | <title> | <p> | <strong>,<h1>,0,O <h1> representa o título principal do conteúdo.,
MC-020,multipla_escolha,HTML,básico,Qual tag cria uma quebra de linha? (variação 2),<br> | <hr> | <p> | <line>,<br>,0,A tag <br> cria quebra de linha.,
MC-021,multipla_escolha,HTML,intermediário,Qual tag representa o conteúdo principal de uma página? (variação 3),<main> | <footer> | <aside> | <nav>,<main>,0,A tag <main> indica o conteúdo principal do documento.,
MC-022,multipla_escolha,HTML,intermediário,Qual atributo cria um link em uma tag <a>? (variação 3),src | href | alt | title,href,1,O atributo href define o destino do link.,
MC-023,multipla_escolha,HTML,intermediário,Qual tag é usada para inserir uma imagem? (variação 3),<img> | <picture-text> | <image> | <src>,<img>,0,A tag <img> insere imagens em uma página HTML.,
MC-024,multipla_escolha,HTML,intermediário,Qual tag cria uma lista não ordenada? (variação 3),<ol> | <ul> | <li> | <dl>,<ul>,1,A tag <ul> cria uma lista sem ordem numérica.,
MC-025,multipla_escolha,HTML,intermediário,Qual tag cria um campo de formulário? (variação 3),<input> | <form-field> | <label> | <button>,<input>,0,"A tag <input> cria campos como texto, senha, checkbox etc.",
MC-026,multipla_escolha,HTML,intermediário,Para que serve o atributo alt em imagens? (variação 3),Definir largura | Descrever a imagem | Criar link | Mudar cor,Descrever a imagem,1,O alt melhora acessibilidade e aparece se a imagem não carregar.,
MC-027,multipla_escolha,HTML,intermediário,Qual elemento contém metadados da página? (variação 3),<head> | <body> | <main> | <section>,<head>,0,"O <head> contém título, links CSS e metadados.",
MC-028,multipla_escolha,HTML,intermediário,Qual tag representa uma seção independente de conteúdo? (variação 3),<article> | <span> | <br> | <meta>,<article>,0,O <article> representa conteúdo independente.,
MC-029,multipla_escolha,HTML,intermediário,Qual tag é usada para título principal? (variação 3),<h1> | <title> | <p> | <strong>,<h1>,0,O <h1> representa o título principal do conteúdo.,
MC-030,multipla_escolha,HTML,intermediário,Qual tag cria uma quebra de linha? (variação 3),<br> | <hr> | <p> | <line>,<br>,0,A tag <br> cria quebra de linha.,
MC-031,multipla_escolha,HTML,intermediário+,Qual tag representa o conteúdo principal de uma página? (variação 4),<main> | <footer> | <aside> | <nav>,<main>,0,A tag <main> indica o conteúdo principal do documento.,
MC-032,multipla_escolha,HTML,intermediário+,Qual atributo cria um link em uma tag <a>? (variação 4),src | href | alt | title,href,1,O atributo href define o destino do link.,
MC-033,multipla_escolha,HTML,intermediário+,Qual tag é usada para inserir uma imagem? (variação 4),<img> | <picture-text> | <image> | <src>,<img>,0,A tag <img> insere imagens em uma página HTML.,
MC-034,multipla_escolha,HTML,intermediário+,Qual tag cria uma lista não ordenada? (variação 4),<ol> | <ul> | <li> | <dl>,<ul>,1,A tag <ul> cria uma lista sem ordem numérica.,
MC-035,multipla_escolha,HTML,intermediário+,Qual tag cria um campo de formulário? (variação 4),<input> | <form-field> | <label> | <button>,<input>,0,"A tag <input> cria campos como texto, senha, checkbox etc.",
MC-036,multipla_escolha,HTML,intermediário+,Para que serve o atributo alt em imagens? (variação 4),Definir largura | Descrever a imagem | Criar link | Mudar cor,Descrever a imagem,1,O alt melhora acessibilidade e aparece se a imagem não carregar.,
MC-037,multipla_escolha,HTML,intermediário+,Qual elemento contém metadados da página? (variação 4),<head> | <body> | <main> | <section>,<head>,0,"O <head> contém título, links CSS e metadados.",
MC-038,multipla_escolha,HTML,intermediário+,Qual tag representa uma seção independente de conteúdo? (variação 4),<article> | <span> | <br> | <meta>,<article>,0,O <article> representa conteúdo independente.,
MC-039,multipla_escolha,HTML,intermediário+,Qual tag é usada para título principal? (variação 4),<h1> | <title> | <p> | <strong>,<h1>,0,O <h1> representa o título principal do conteúdo.,
MC-040,multipla_escolha,HTML,intermediário+,Qual tag cria uma quebra de linha? (variação 4),<br> | <hr> | <p> | <line>,<br>,0,A tag <br> cria quebra de linha.,
MC-041,multipla_escolha,HTML,revisão,Qual tag representa o conteúdo principal de uma página? (variação 5),<main> | <footer> | <aside> | <nav>,<main>,0,A tag <main> indica o conteúdo principal do documento.,
MC-042,multipla_escolha,HTML,revisão,Qual atributo cria um link em uma tag <a>? (variação 5),src | href | alt | title,href,1,O atributo href define o destino do link.,
MC-043,multipla_escolha,HTML,revisão,Qual tag é usada para inserir uma imagem? (variação 5),<img> | <picture-text> | <image> | <src>,<img>,0,A tag <img> insere imagens em uma página HTML.,
MC-044,multipla_escolha,HTML,revisão,Qual tag cria uma lista não ordenada? (variação 5),<ol> | <ul> | <li> | <dl>,<ul>,1,A tag <ul> cria uma lista sem ordem numérica.,
MC-045,multipla_escolha,HTML,revisão,Qual tag cria um campo de formulário? (variação 5),<input> | <form-field> | <label> | <button>,<input>,0,"A tag <input> cria campos como texto, senha, checkbox etc.",
MC-046,multipla_escolha,HTML,revisão,Para que serve o atributo alt em imagens? (variação 5),Definir largura | Descrever a imagem | Criar link | Mudar cor,Descrever a imagem,1,O alt melhora acessibilidade e aparece se a imagem não carregar.,
MC-047,multipla_escolha,HTML,revisão,Qual elemento contém metadados da página? (variação 5),<head> | <body> | <main> | <section>,<head>,0,"O <head> contém título, links CSS e metadados.",
MC-048,multipla_escolha,HTML,revisão,Qual tag representa uma seção independente de conteúdo? (variação 5),<article> | <span> | <br> | <meta>,<article>,0,O <article> representa conteúdo independente.,
MC-049,multipla_escolha,HTML,revisão,Qual tag é usada para título principal? (variação 5),<h1> | <title> | <p> | <strong>,<h1>,0,O <h1> representa o título principal do conteúdo.,
MC-050,multipla_escolha,HTML,revisão,Qual tag cria uma quebra de linha? (variação 5),<br> | <hr> | <p> | <line>,<br>,0,A tag <br> cria quebra de linha.,
AB-051,resposta_escrita,HTML,iniciante,Explique a diferença entre as tags <section> e <article>.,,,,,"section agrupa uma parte temática da página; article representa um conteúdo independente, como postagem, notícia ou card completo."
AB-052,resposta_escrita,HTML,iniciante,Explique para que serve o atributo alt em uma imagem.,,,,,O alt descreve a imagem para acessibilidade e aparece caso a imagem não carregue.
AB-053,resposta_escrita,HTML,iniciante,Explique a função da tag <form>.,,,,,A tag form agrupa campos de entrada e permite enviar dados do usuário.
AB-054,resposta_escrita,HTML,iniciante,Explique a diferença entre <ol> e <ul>.,,,,,ol cria lista ordenada; ul cria lista não ordenada.
AB-055,resposta_escrita,HTML,iniciante,Explique por que é importante usar HTML semântico.,,,,,"HTML semântico melhora acessibilidade, SEO, organização do código e compreensão da estrutura da página."
AB-056,resposta_escrita,HTML,iniciante,Explique a função da tag <label> em formulários.,,,,,"label cria um texto associado a um campo, melhorando usabilidade e acessibilidade."
AB-057,resposta_escrita,HTML,iniciante,Explique a diferença entre <head> e <body>.,,,,,head contém metadados e configurações; body contém o conteúdo visível da página.
AB-058,resposta_escrita,HTML,iniciante,Explique o que é um atributo HTML.,,,,,"Atributo adiciona informação ou configuração a uma tag, como href, src, alt, id e class."
AB-059,resposta_escrita,HTML,iniciante,Explique a função da tag <nav>.,,,,,nav representa uma área de navegação com links importantes do site.
AB-060,resposta_escrita,HTML,iniciante,Explique por que o atributo lang='pt-br' é importante.,,,,,"Ele informa o idioma da página, ajudando leitores de tela, buscadores e tradução automática."
AB-061,resposta_escrita,HTML,básico,Explique a diferença entre as tags <section> e <article>. Responda com suas palavras e dê um exemplo. (variação 2),,,,,"section agrupa uma parte temática da página; article representa um conteúdo independente, como postagem, notícia ou card completo."
AB-062,resposta_escrita,HTML,básico,Explique para que serve o atributo alt em uma imagem. Responda com suas palavras e dê um exemplo. (variação 2),,,,,O alt descreve a imagem para acessibilidade e aparece caso a imagem não carregue.
AB-063,resposta_escrita,HTML,básico,Explique a função da tag <form>. Responda com suas palavras e dê um exemplo. (variação 2),,,,,A tag form agrupa campos de entrada e permite enviar dados do usuário.
AB-064,resposta_escrita,HTML,básico,Explique a diferença entre <ol> e <ul>. Responda com suas palavras e dê um exemplo. (variação 2),,,,,ol cria lista ordenada; ul cria lista não ordenada.
AB-065,resposta_escrita,HTML,básico,Explique por que é importante usar HTML semântico. Responda com suas palavras e dê um exemplo. (variação 2),,,,,"HTML semântico melhora acessibilidade, SEO, organização do código e compreensão da estrutura da página."
AB-066,resposta_escrita,HTML,básico,Explique a função da tag <label> em formulários. Responda com suas palavras e dê um exemplo. (variação 2),,,,,"label cria um texto associado a um campo, melhorando usabilidade e acessibilidade."
AB-067,resposta_escrita,HTML,básico,Explique a diferença entre <head> e <body>. Responda com suas palavras e dê um exemplo. (variação 2),,,,,head contém metadados e configurações; body contém o conteúdo visível da página.
AB-068,resposta_escrita,HTML,básico,Explique o que é um atributo HTML. Responda com suas palavras e dê um exemplo. (variação 2),,,,,"Atributo adiciona informação ou configuração a uma tag, como href, src, alt, id e class."
AB-069,resposta_escrita,HTML,básico,Explique a função da tag <nav>. Responda com suas palavras e dê um exemplo. (variação 2),,,,,nav representa uma área de navegação com links importantes do site.
AB-070,resposta_escrita,HTML,básico,Explique por que o atributo lang='pt-br' é importante. Responda com suas palavras e dê um exemplo. (variação 2),,,,,"Ele informa o idioma da página, ajudando leitores de tela, buscadores e tradução automática."
AB-071,resposta_escrita,HTML,intermediário,Explique a diferença entre as tags <section> e <article>. Responda com suas palavras e dê um exemplo. (variação 3),,,,,"section agrupa uma parte temática da página; article representa um conteúdo independente, como postagem, notícia ou card completo."
AB-072,resposta_escrita,HTML,intermediário,Explique para que serve o atributo alt em uma imagem. Responda com suas palavras e dê um exemplo. (variação 3),,,,,O alt descreve a imagem para acessibilidade e aparece caso a imagem não carregue.
AB-073,resposta_escrita,HTML,intermediário,Explique a função da tag <form>. Responda com suas palavras e dê um exemplo. (variação 3),,,,,A tag form agrupa campos de entrada e permite enviar dados do usuário.
AB-074,resposta_escrita,HTML,intermediário,Explique a diferença entre <ol> e <ul>. Responda com suas palavras e dê um exemplo. (variação 3),,,,,ol cria lista ordenada; ul cria lista não ordenada.
AB-075,resposta_escrita,HTML,intermediário,Explique por que é importante usar HTML semântico. Responda com suas palavras e dê um exemplo. (variação 3),,,,,"HTML semântico melhora acessibilidade, SEO, organização do código e compreensão da estrutura da página."
AB-076,resposta_escrita,HTML,intermediário,Explique a função da tag <label> em formulários. Responda com suas palavras e dê um exemplo. (variação 3),,,,,"label cria um texto associado a um campo, melhorando usabilidade e acessibilidade."
AB-077,resposta_escrita,HTML,intermediário,Explique a diferença entre <head> e <body>. Responda com suas palavras e dê um exemplo. (variação 3),,,,,head contém metadados e configurações; body contém o conteúdo visível da página.
AB-078,resposta_escrita,HTML,intermediário,Explique o que é um atributo HTML. Responda com suas palavras e dê um exemplo. (variação 3),,,,,"Atributo adiciona informação ou configuração a uma tag, como href, src, alt, id e class."
AB-079,resposta_escrita,HTML,intermediário,Explique a função da tag <nav>. Responda com suas palavras e dê um exemplo. (variação 3),,,,,nav representa uma área de navegação com links importantes do site.
AB-080,resposta_escrita,HTML,intermediário,Explique por que o atributo lang='pt-br' é importante. Responda com suas palavras e dê um exemplo. (variação 3),,,,,"Ele informa o idioma da página, ajudando leitores de tela, buscadores e tradução automática."
AB-081,resposta_escrita,HTML,intermediário+,Explique a diferença entre as tags <section> e <article>. Responda com suas palavras e dê um exemplo. (variação 4),,,,,"section agrupa uma parte temática da página; article representa um conteúdo independente, como postagem, notícia ou card completo."
AB-082,resposta_escrita,HTML,intermediário+,Explique para que serve o atributo alt em uma imagem. Responda com suas palavras e dê um exemplo. (variação 4),,,,,O alt descreve a imagem para acessibilidade e aparece caso a imagem não carregue.
AB-083,resposta_escrita,HTML,intermediário+,Explique a função da tag <form>. Responda com suas palavras e dê um exemplo. (variação 4),,,,,A tag form agrupa campos de entrada e permite enviar dados do usuário.
AB-084,resposta_escrita,HTML,intermediário+,Explique a diferença entre <ol> e <ul>. Responda com suas palavras e dê um exemplo. (variação 4),,,,,ol cria lista ordenada; ul cria lista não ordenada.
AB-085,resposta_escrita,HTML,intermediário+,Explique por que é importante usar HTML semântico. Responda com suas palavras e dê um exemplo. (variação 4),,,,,"HTML semântico melhora acessibilidade, SEO, organização do código e compreensão da estrutura da página."
AB-086,resposta_escrita,HTML,intermediário+,Explique a função da tag <label> em formulários. Responda com suas palavras e dê um exemplo. (variação 4),,,,,"label cria um texto associado a um campo, melhorando usabilidade e acessibilidade."
AB-087,resposta_escrita,HTML,intermediário+,Explique a diferença entre <head> e <body>. Responda com suas palavras e dê um exemplo. (variação 4),,,,,head contém metadados e configurações; body contém o conteúdo visível da página.
AB-088,resposta_escrita,HTML,intermediário+,Explique o que é um atributo HTML. Responda com suas palavras e dê um exemplo. (variação 4),,,,,"Atributo adiciona informação ou configuração a uma tag, como href, src, alt, id e class."
AB-089,resposta_escrita,HTML,intermediário+,Explique a função da tag <nav>. Responda com suas palavras e dê um exemplo. (variação 4),,,,,nav representa uma área de navegação com links importantes do site.
AB-090,resposta_escrita,HTML,intermediário+,Explique por que o atributo lang='pt-br' é importante. Responda com suas palavras e dê um exemplo. (variação 4),,,,,"Ele informa o idioma da página, ajudando leitores de tela, buscadores e tradução automática."
AB-091,resposta_escrita,HTML,revisão,Explique a diferença entre as tags <section> e <article>. Responda com suas palavras e dê um exemplo. (variação 5),,,,,"section agrupa uma parte temática da página; article representa um conteúdo independente, como postagem, notícia ou card completo."
AB-092,resposta_escrita,HTML,revisão,Explique para que serve o atributo alt em uma imagem. Responda com suas palavras e dê um exemplo. (variação 5),,,,,O alt descreve a imagem para acessibilidade e aparece caso a imagem não carregue.
AB-093,resposta_escrita,HTML,revisão,Explique a função da tag <form>. Responda com suas palavras e dê um exemplo. (variação 5),,,,,A tag form agrupa campos de entrada e permite enviar dados do usuário.
AB-094,resposta_escrita,HTML,revisão,Explique a diferença entre <ol> e <ul>. Responda com suas palavras e dê um exemplo. (variação 5),,,,,ol cria lista ordenada; ul cria lista não ordenada.
AB-095,resposta_escrita,HTML,revisão,Explique por que é importante usar HTML semântico. Responda com suas palavras e dê um exemplo. (variação 5),,,,,"HTML semântico melhora acessibilidade, SEO, organização do código e compreensão da estrutura da página."
AB-096,resposta_escrita,HTML,revisão,Explique a função da tag <label> em formulários. Responda com suas palavras e dê um exemplo. (variação 5),,,,,"label cria um texto associado a um campo, melhorando usabilidade e acessibilidade."
AB-097,resposta_escrita,HTML,revisão,Explique a diferença entre <head> e <body>. Responda com suas palavras e dê um exemplo. (variação 5),,,,,head contém metadados e configurações; body contém o conteúdo visível da página.
AB-098,resposta_escrita,HTML,revisão,Explique o que é um atributo HTML. Responda com suas palavras e dê um exemplo. (variação 5),,,,,"Atributo adiciona informação ou configuração a uma tag, como href, src, alt, id e class."
AB-099,resposta_escrita,HTML,revisão,Explique a função da tag <nav>. Responda com suas palavras e dê um exemplo. (variação 5),,,,,nav representa uma área de navegação com links importantes do site.
AB-100,resposta_escrita,HTML,revisão,Explique por que o atributo lang='pt-br' é importante. Responda com suas palavras e dê um exemplo. (variação 5),,,,,"Ele informa o idioma da página, ajudando leitores de tela, buscadores e tradução automática."
MC-101,multipla_escolha,CSS,iniciante,Qual propriedade altera a cor do texto?,color | background | font-size | border,color,0,A propriedade color define a cor do texto.,
MC-102,multipla_escolha,CSS,iniciante,Qual propriedade altera a cor de fundo?,background-color | color | font-family | padding,background-color,0,background-color altera a cor de fundo.,
MC-103,multipla_escolha,CSS,iniciante,Qual seletor seleciona uma classe?,.classe | #classe | classe() | <classe>,.classe,0,Classes são selecionadas com ponto.,
MC-104,multipla_escolha,CSS,iniciante,Qual seletor seleciona um id?,#id | .id | id: | *id,#id,0,IDs são selecionados com cerquilha (#).,
MC-105,multipla_escolha,CSS,iniciante,Qual propriedade controla o espaçamento interno?,padding | margin | border | gap,padding,0,Padding é o espaço interno do elemento.,
MC-106,multipla_escolha,CSS,iniciante,Qual propriedade controla o espaçamento externo?,margin | padding | outline | display,margin,0,Margin é o espaço externo.,
MC-107,multipla_escolha,CSS,iniciante,Qual valor de display ativa Flexbox?,flex | grid | block | inline,flex,0,display: flex ativa o Flexbox.,
MC-108,multipla_escolha,CSS,iniciante,Qual propriedade arredonda bordas?,border-radius | border-style | outline | box-shadow,border-radius,0,border-radius arredonda as bordas.,
MC-109,multipla_escolha,CSS,iniciante,Qual propriedade cria sombra em caixas?,box-shadow | text-shadow | filter | opacity,box-shadow,0,box-shadow cria sombra ao redor do elemento.,
MC-110,multipla_escolha,CSS,iniciante,Qual propriedade define o tamanho da fonte?,font-size | font-weight | line-height | font-style,font-size,0,font-size define o tamanho da fonte.,
MC-111,multipla_escolha,CSS,básico,Qual propriedade altera a cor do texto? (variação 2),color | background | font-size | border,color,0,A propriedade color define a cor do texto.,
MC-112,multipla_escolha,CSS,básico,Qual propriedade altera a cor de fundo? (variação 2),background-color | color | font-family | padding,background-color,0,background-color altera a cor de fundo.,
MC-113,multipla_escolha,CSS,básico,Qual seletor seleciona uma classe? (variação 2),.classe | #classe | classe() | <classe>,.classe,0,Classes são selecionadas com ponto.,
MC-114,multipla_escolha,CSS,básico,Qual seletor seleciona um id? (variação 2),#id | .id | id: | *id,#id,0,IDs são selecionados com cerquilha (#).,
MC-115,multipla_escolha,CSS,básico,Qual propriedade controla o espaçamento interno? (variação 2),padding | margin | border | gap,padding,0,Padding é o espaço interno do elemento.,
MC-116,multipla_escolha,CSS,básico,Qual propriedade controla o espaçamento externo? (variação 2),margin | padding | outline | display,margin,0,Margin é o espaço externo.,
MC-117,multipla_escolha,CSS,básico,Qual valor de display ativa Flexbox? (variação 2),flex | grid | block | inline,flex,0,display: flex ativa o Flexbox.,
MC-118,multipla_escolha,CSS,básico,Qual propriedade arredonda bordas? (variação 2),border-radius | border-style | outline | box-shadow,border-radius,0,border-radius arredonda as bordas.,
MC-119,multipla_escolha,CSS,básico,Qual propriedade cria sombra em caixas? (variação 2),box-shadow | text-shadow | filter | opacity,box-shadow,0,box-shadow cria sombra ao redor do elemento.,
MC-120,multipla_escolha,CSS,básico,Qual propriedade define o tamanho da fonte? (variação 2),font-size | font-weight | line-height | font-style,font-size,0,font-size define o tamanho da fonte.,
MC-121,multipla_escolha,CSS,intermediário,Qual propriedade altera a cor do texto? (variação 3),color | background | font-size | border,color,0,A propriedade color define a cor do texto.,
MC-122,multipla_escolha,CSS,intermediário,Qual propriedade altera a cor de fundo? (variação 3),background-color | color | font-family | padding,background-color,0,background-color altera a cor de fundo.,
